iter	Passed	Remaining
740	4239	1481
741	4244	1475
742	4248	1469
743	4255	1464
744	4260	1458
745	4267	1452
746	4272	1447
747	4278	1441
748	4284	1435
749	4291	1430
750	4297	1424
751	4305	1419
752	4311	1414
753	4316	1408
754	4322	1402
755	4328	1396
756	4334	1391
757	4338	1385
758	4345	1379
759	4350	1373
760	4354	1367
761	4359	1361
762	4365	1355
763	4370	1349
764	4375	1344
765	4380	1338
766	4386	1332
767	4391	1326
768	4397	1320
769	4404	1315
770	4413	1310
771	4420	1305
772	4427	1300
773	4434	1294
774	4441	1289
775	4450	1284
776	4457	1279
777	4466	1274
778	4472	1268
779	4476	1262
780	4481	1256
781	4487	1250
782	4494	1245
783	4500	1239
784	4504	1233
785	4510	1228
786	4515	1222
787	4521	1216
788	4525	1210
789	4530	1204
790	4535	1198
791	4540	1192
792	4545	1186
793	4551	1180
794	4556	1175
795	4561	1168
796	4568	1163
797	4575	1158
798	4581	1152
799	4586	1146
800	4592	1141
801	4600	1135
802	4606	1130
803	4611	1124
804	4616	1118
805	4621	1112
806	4626	1106
807	4632	1100
808	4638	1095
809	4644	1089
810	4650	1083
811	4658	1078
812	4664	1072
813	4670	1067
814	4676	1061
815	4680	1055
816	4686	1049
817	4692	1044
818	4697	1038
819	4702	1032
820	4709	1026
821	4715	1021
822	4722	1015
823	4728	1009
824	4735	1004
825	4741	998
826	4748	993
827	4752	987
828	4758	981
829	4763	975
830	4768	969
831	4774	964
832	4778	957
833	4784	952
834	4789	946
835	4795	940
836	4801	935
837	4807	929
838	4812	923
839	4817	917
840	4822	911
841	4827	905
842	4833	900
843	4837	894
844	4842	888
845	4847	882
846	4853	876
847	4858	870
848	4864	865
849	4868	859
850	4873	853
851	4879	847
852	4884	841
853	4889	835
854	4894	830
855	4898	824
856	4904	818
857	4910	812
858	4914	806
859	4920	801
860	4926	795
861	4931	789
862	4937	783
863	4944	778
864	4949	772
865	4955	766
866	4960	760
867	4965	755
868	4971	749
869	4976	743
870	4981	737
871	4986	731
872	4992	726
873	4999	720
874	5005	715
875	5010	709
876	5017	703
877	5023	698
878	5028	692
879	5034	686
880	5040	680
881	5046	675
882	5053	669
883	5058	663
884	5064	658
885	5069	652
886	5074	646
887	5079	640
888	5086	635
889	5091	629
890	5095	623
891	5100	617
892	5107	611
893	5111	606
894	5116	600
895	5122	594
896	5127	588
897	5131	582
898	5136	577
899	5142	571
900	5149	565
901	5154	560
902	5161	554
903	5166	548
904	5173	543
905	5179	537
906	5185	531
907	5193	526
908	5199	520
909	5205	514
910	5211	509
911	5217	503
912	5223	497
913	5229	492
914	5235	486
915	5240	480
916	5246	474
917	5251	469
918	5258	463
919	5262	457
920	5268	451
921	5273	446
922	5278	440
923	5284	434
924	5290	428
925	5295	423
926	5300	417
927	5305	411
928	5310	405
929	5317	400
930	5323	394
931	5329	388
932	5334	383
933	5341	377
934	5347	371
935	5352	366
936	5359	360
937	5363	354
938	5369	348
939	5376	343
940	5382	337
941	5388	331
942	5394	326
943	5401	320
944	5406	314
945	5413	309
946	5419	303
947	5424	297
948	5430	291
949	5436	286
950	5442	280
951	5448	274
952	5457	269
953	5462	263
954	5467	257
955	5472	251
956	5476	246
957	5480	240
958	5486	234
959	5492	228
960	5497	223
961	5503	217
962	5508	211
963	5514	205
964	5521	200
965	5528	194
966	5535	188
967	5541	183
968	5547	177
969	5555	171
970	5560	166
971	5565	160
972	5571	154
973	5577	148
974	5581	143
975	5588	137
976	5595	131
977	5599	125
978	5605	120
979	5611	114
980	5615	108
981	5622	103
982	5627	97
983	5632	91
984	5638	85
985	5644	80
986	5649	74
987	5657	68
988	5664	63
989	5671	57
990	5676	51
991	5684	45
992	5690	40
993	5696	34
994	5701	28
995	5705	22
996	5711	17
997	5716	11
998	5723	5
999	5729	0
